,Id,Report Source,Category,Created at local,Closed at local,Status,Address,smell description,URL,Latitude,Longitude,Export tagged places,date,time,Date & time (hour rounded),epoch time,date & time,smell value,zipcode,symptoms,additional comments
0,7181157.0,iPhone,Odor,2020-01-07 08:26:00,2020-01-07 09:20:00,Archived,315 Spring Street,Petroleum smell coming from south portland,https://crm.seeclickfix.com/#/organizations/611/issues/7181157,43.64774,-70.26945450000001,City Council District 2,2020-01-07,08:26:00,2020-01-07 08:00:00,,,,,,
1,7181402.0,Android,Odor,2020-01-07 09:11:00,2020-01-07 09:20:00,Archived,25 Cushman St,usual petroleum,https://crm.seeclickfix.com/#/organizations/611/issues/7181402,43.6494485,-70.2686259,City Council District 2,2020-01-07,09:11:00,2020-01-07 09:00:00,,,,,,
2,7192000.0,Android,Odor,2020-01-09 07:14:00,2020-01-09 08:45:00,Archived,25 Cushman St,usual petroleum,https://crm.seeclickfix.com/#/organizations/611/issues/7192000,43.6494485,-70.2686259,City Council District 2,2020-01-09,07:14:00,2020-01-09 07:00:00,,,,,,
3,7206428.0,Android,Odor,2020-01-13 08:22:00,2020-01-13 09:09:00,Archived,25 Cushman St,worst yet,https://crm.seeclickfix.com/#/organizations/611/issues/7206428,43.6494485,-70.2686259,City Council District 2,2020-01-13,08:22:00,2020-01-13 08:00:00,,,,,,
4,7210067.0,Android,Odor,2020-01-14 08:24:00,2020-01-14 14:50:00,Archived,25 Cushman St,"usual petroleum stink. Cushman and Reiche playing field
",https://crm.seeclickfix.com/#/organizations/611/issues/7210067,43.6494485,-70.2686259,City Council District 2,2020-01-14,08:24:00,2020-01-14 08:00:00,,,,,,
5,7210906.0,Android,Odor,2020-01-14 11:10:00,2020-01-14 14:50:00,Archived,70 India St,"India and Commercial. across from SoPo tanks. VERY strong petroleum odor. I have lung disease and it's irritating.
Time to get this litigated
",https://crm.seeclickfix.com/#/organizations/611/issues/7210906,43.6608209,-70.25065090000001,City Council District 1,2020-01-14,11:10:00,2020-01-14 11:00:00,,,,,,
6,7221072.0,Android,Odor,2020-01-15 16:05:00,2020-01-21 09:55:00,Archived,25 Cushman St,usual stink,https://crm.seeclickfix.com/#/organizations/611/issues/7221072,43.6494485,-70.2686259,City Council District 2,2020-01-15,16:05:00,2020-01-15 16:00:00,,,,,,
7,7224338.0,Android,Odor,2020-01-16 08:01:00,2020-01-21 09:55:00,Archived,25 Cushman St,as usual. by Reiche pool as well,https://crm.seeclickfix.com/#/organizations/611/issues/7224338,43.6494485,-70.2686259,City Council District 2,2020-01-16,08:01:00,2020-01-16 08:00:00,,,,,,
8,7242521.0,Android,Odor,2020-01-21 07:25:00,2020-01-21 09:55:00,Archived,25 Cushman St, Usual stink from Bay. Time for an update from DEP and Council. absolutely no excuses for lack of action plan,https://crm.seeclickfix.com/#/organizations/611/issues/7242521,43.6494485,-70.2686259,City Council District 2,2020-01-21,07:25:00,2020-01-21 07:00:00,,,,,,
9,7253972.0,Android,Odor,2020-01-23 08:01:00,2020-01-23 15:00:00,Archived,104 Clark St,petroleum odor very strong Cushman/Clark/ Reiche pool parking lot . ,https://crm.seeclickfix.com/#/organizations/611/issues/7253972,43.648681200000006,-70.2652256,City Council District 2,2020-01-23,08:01:00,2020-01-23 08:00:00,,,,,,
10,7418849.0,Android,Odor,2020-02-13 08:30:00,2020-02-13 08:39:00,Archived,25 Cushman St,again,https://crm.seeclickfix.com/#/organizations/611/issues/7418849,43.6494485,-70.2686259,City Council District 2,2020-02-13,08:30:00,2020-02-13 08:00:00,,,,,,
11,7462619.0,Android,Odor,2020-02-24 07:18:00,2020-02-24 08:24:00,Archived,342 Spring St,petrol/chemical smell in west end,https://crm.seeclickfix.com/#/organizations/611/issues/7462619,43.646919700000005,-70.2703141,City Council District 2,2020-02-24,07:18:00,2020-02-24 07:00:00,,,,,,
12,7492108.0,iPhone,Odor,2020-03-02 06:21:00,2020-03-02 08:38:00,Archived,55 Bowdoin St,Very potent Petrochemical/VOC  odor in my backyard,https://crm.seeclickfix.com/#/organizations/611/issues/7492108,43.64723135,-70.27484216,City Council District 2,2020-03-02,06:21:00,2020-03-02 06:00:00,,,,,,
